File,Line,Column,Type,Message,Source,Severity,Fixable
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pro-definitions.php",54,9,warning,"This comment is 63% valid code; is this commented out code?",Squiz.PHP.CommentedOutCode.Found,5,0
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pro-definitions.php",193,21,error,"Processing form data without nonce verification.",WordPress.Security.NonceVerification.Missing,5,0
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pages/settings/license.php",5,1,error,"Overriding WordPress globals is prohibited. Found assignment to $status",WordPress.WP.GlobalVariablesOverride.Prohibited,5,0
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pages/settings/license.php",12,13,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pages/settings/license.php",31,50,warning,"Processing form data without nonce verification.",WordPress.Security.NonceVerification.Recommended,5,0
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pages/settings/license.php",35,34,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pages/settings/license.php",39,42,warning,"Processing form data without nonce verification.",WordPress.Security.NonceVerification.Recommended,5,0
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pages/settings/license.php",40,51,warning,"Processing form data without nonce verification.",WordPress.Security.NonceVerification.Recommended,5,0
"/Users/valentingarcia/Github/PublishPress-Blocks-Pro/src/incl/pages/settings/license.php",42,34,error,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$message'.",WordPress.Security.EscapeOutput.OutputNotEscaped,5,0

